Mes,Visitas,Compradores_unicos,Media_de_venda_ por_comprador,Novos_compradores,Quantidade_de_vendas,Unidades_vendidas,Vendas_brutas,Conversao,Valor_medio_por_venda,Preco_medio_por_unidade,Percentual_Anual
Outubro,4308.0,13.0,132.76,13.0,13.0,16.0,1726.0,0.003,132.76,107.87,5.256585960103548
Novembro,2155.0,13.0,164.95,13.0,13.0,19.0,2144.0,0.006,164.95,112.86,6.529617785899193
Dezembro,3164.0,19.0,168.81,19.0,21.0,38.0,3545.0,0.0066,168.81,93.29,10.79640627379321
Janeiro,3429.0,19.0,170.28,19.0,19.0,20.0,3235.0,0.0055,170.28,161.77,9.852291761839501
Fevereiro,3779.0,17.0,137.8,17.0,18.0,24.0,2480.0,0.0048,137.8,103.35,7.552916095629664
Março,5843.0,19.0,139.69,19.0,20.0,24.0,2794.0,0.0034,139.69,116.4,8.509212730318257
Abril,2122.0,6.0,158.16,6.0,7.0,9.0,1107.0,0.0033,158.16,123.01,3.371402466879854
Maio,2303.0,10.0,155.4,10.0,11.0,14.0,1709.0,0.0048,155.4,122.1,5.2048119384802805
Junho,5041.0,11.0,174.7,11.0,11.0,13.0,1922.0,0.0022,174.7,147.83,5.853509974112989
Julho,6669.0,15.0,298.27,15.0,15.0,22.0,4474.0,0.0022,298.27,203.37,13.62570427897061
Agosto,2570.0,12.0,237.92,12.0,11.0,12.0,2617.0,0.0043,237.92,218.09,7.970153799299529
Setembro,2623.0,15.0,254.12,15.0,20.0,22.0,5082.0,0.0076,254.12,231.01,15.477386934673367
